Depth,GR_1st,IGR,Vsh_1st,GR_2nd,GRc_2nd,Vsh_2nd,GR_3rd,GRc_3rd,Vsh+3rd
m,API,,,API,API,%,API,API,%
170.1,39.88,0.139269847,-0.147640203,47.08,,6.074073724,47.17,,4.485715577
170.2,39.88,0.139269847,-0.147640203,46.16,,4.62172516,48.27,,6.035736209
170.3,39.88,0.139269847,-0.147640203,46.57,,5.249950181,48.4,,6.230885012
170.4,42.01,0.180413367,-0.092782178,49.31,,10.3062886,48.31,,6.095501905
170.5,42.01,0.180413367,-0.092782178,49.3,,10.28477421,49.09,,7.31190685
170.6,45.4,0.245895306,-0.005472925,48.35,,8.350139907,48.83,,6.895453427
170.7,45.4,0.245895306,-0.005472925,48.78,,9.199578227,48.2,,5.931741192
170.8,47.52,0.286845664,0.049127551,48.9,,9.444255988,48.62,,6.567192349
170.9,48.79,0.311377246,0.081836327,48.83,,9.301115424,50.37,,9.534208001
171,48.79,0.311377246,0.081836327,48.76,,9.159127211,51.16,,11.06056664
171.1,48.37,0.303264439,0.071019252,48.41,,8.466149344,48.98,,7.134343126
171.2,48.37,0.303264439,0.071019252,47.82,,7.35955691,48.18,,5.902166785
171.3,44.55,0.229476531,-0.027364626,46.39,,4.970478196,48.39,,6.215779943
171.4,42.85,0.19663898,-0.071148027,45.91,,4.25300515,49.16,,7.425961588
171.5,42.85,0.19663898,-0.071148027,46.49,,5.125023,49.94,,8.754507886
171.6,49.64,0.327796021,0.103728028,47.13,,6.157513233,50.27,,9.34976614
171.7,49.64,10.9864879,14.3153172,47.46,,6.720463033,51.67,,12.11450664
171.8,44.98,0.2377825,-0.016290001,47.31,,6.461916,51.7,,12.17825689
171.9,47.95,0.295151632,0.060202176,46.42,,5.016654402,51.4,,11.54959586
172,47.95,0.295151632,0.060202176,45.42,,3.560472153,50.5,,9.776861052
172.1,48.37,0.303264439,0.071019252,44.33,,2.153511927,48.46,,6.321845257
172.2,48.37,0.303264439,0.071019252,45.45,,3.601755381,45.74,,2.71786239
172.3,51.76,0.368746378,0.158328504,46.24,,4.741981435,48.24,,5.991074421
172.4,53.04,0.393471122,0.19129483,47.18,,6.241435883,48.1,,5.784480907
172.5,53.04,0.393471122,0.19129483,51.03,,14.40219552,48.94,,7.070275265
172.6,52.61,0.385165154,0.180220205,51.51,,15.69808768,49.32,,7.68978958
172.7,52.61,0.385165154,0.180220205,51.51,,15.69808768,51.01,,10.76104938
172.8,53.89,0.409889898,0.21318653,52.94,,20.01321614,50.43,,9.64579512
172.9,49.22,0.319683214,0.092910952,53.46,,21.76761499,51.76,,12.30635419
173,49.22,0.319683214,0.092910952,53.67,,22.50652934,52.32,,13.54117753
173.1,52.61,0.385165154,0.180220205,52.47,,18.5156462,51.54,,11.84053693
173.2,52.61,0.385165154,0.180220205,55.03,,27.75117661,51.7,,12.17825689
173.3,58.13,0.491790612,0.322387483,57.94,,42.1634921,55.38,,21.71551788
173.4,60.68,11.9864879,15.64865053,56.44,,34.13214162,51.82,,12.43525136
173.5,60.68,0.541046938,0.388062585,55.61,,30.25085969,51.61,,11.98759985
173.6,52.61,0.385165154,0.180220205,56.09,,32.44999337,50.74,,10.23352543
173.7,52.61,0.385165154,0.180220205,56.84,,36.1397138,51.69,,12.15698475
173.8,58.13,0.491790612,0.322387483,57.87,,41.75694546,53.91,,17.46474841
173.9,56.86,0.46725903,0.289678707,56.4,,33.93643742,54.49,,19.064942
174,56.86,0.46725903,0.289678707,53.75,,22.79276735,54.34,,18.64182358
174.1,53.04,0.393471122,0.19129483,52.18,,17.63135033,53.83,,17.25149233
174.2,53.04,0.393471122,0.19129483,50.82,,13.85744139,52.15,,13.15870838
174.3,50.92,0.352520765,0.136694353,50.82,,13.85744139,52.07,,12.98104376
174.4,56.86,0.46725903,0.289678707,50.92,,14.11520097,52.63,,14.25622679
174.5,56.86,0.46725903,0.289678707,51.46,,15.55972317,52.48,,13.90736311
174.6,44.98,0.2377825,-0.016290001,51.59,,15.92113926,51.71,,12.1995511
174.7,44.98,0.2377825,-0.016290001,50.99,,14.29741184,50.91,,10.56394512
174.8,46.25,0.262314082,0.016418775,50.68,,13.50154197,50.91,,10.56394512
174.9,44.13,0.221363724,-0.038181701,50.62,,13.35076614,49.2,,7.491508582
175,44.13,0.221363724,-0.038181701,50.72,,13.6026411,49,,7.166476898
175.1,46.67,12.9864879,16.98198387,49.86,,11.52866939,49.79,,8.490600091
175.2,46.67,0.270426888,0.027235851,46.51,,5.156146686,50.3,,9.404897916
175.3,52.19,0.377052347,0.169403129,45.94,,4.296691594,49.13,,7.376979543
175.4,51.34,0.360633572,0.147511429,46.74,,5.519283411,46.47,,3.58756067
175.5,51.34,0.360633572,0.147511429,47.56,,6.895332473,52.77,,14.58676772
175.6,55.16,0.43442148,0.245895306,47.59,,6.948188275,53.1,,15.38516116
175.7,55.16,0.43442148,0.245895306,49.03,,9.713177684,52.87,,14.82582512
175.8,49.22,0.319683214,0.092910952,45.66,,3.894777225,51.62,,12.00869616
175.9,50.92,0.352520765,0.136694353,46.82,,5.647869567,50.15,,9.130946994
176,50.92,0.352520765,0.136694353,48.2,,8.063608497,51.95,,12.71729644
176.1,49.22,0.319683214,0.092910952,50.92,,14.11520097,50.72,,10.19503426
176.2,49.22,0.319683214,0.092910952,48.61,,8.858704087,54.41,,18.83845957
