Depth/m,NL_1st,NL_2nd,NL_3rd,d10/um,K1,K2,K3,K2-K1,K3-K2,,Depth/m,NL_1st,NL_2nd,NL_3rd,d10/um,K1,K2,K3,K2-K1,K3-K2
183.1,0.445,0.452,0.443,37.744,2.264213673,2.43375877,2.217808943,0.169545097,-0.215949827,,201,0.434,0.433,0.448,1.669,0.003948903,0.003907849,0.004566632,-4.11E-05,0.000658784
183.3,0.44,0.447,0.445,113.659,19.49472583,20.96078113,20.53190391,1.466055297,-0.428877221,,201.2,0.441,0.437,0.45,1.506,0.003458355,0.003317454,0.00379568,-0.000140901,0.000478226
183.5,0.439,0.449,0.446,112.473,18.89260705,20.95365933,20.31463858,2.061052282,-0.639020751,,201.4,0.444,0.439,0.452,66.207,6.89500588,6.546409251,7.488408044,-0.348596629,0.941998793
183.7,0.444,0.454,0.444,112.315,19.84277213,21.99810603,19.84277213,2.155333902,-2.155333902,,201.6,0.439,0.441,0.455,1.574,0.003700026,0.003777714,0.004364939,7.77E-05,0.000587224
183.9,0.445,0.448,0.446,89.827,12.82434972,13.22809096,12.95765262,0.403741239,-0.270438343,,201.8,0.441,0.442,0.457,19.588,0.585059234,0.591161436,0.690011973,0.006102202,0.098850537
184.1,0.449,0.448,0.447,111.519,20.59970747,20.38830465,20.17890216,-0.21140282,-0.20940249,,202.2,0.443,0.445,0.457,96.35,14.4521254,14.75451708,16.69474823,0.302391685,1.940231146
184.3,0.456,0.453,0.445,87.355,13.58312695,13.17112843,12.12822088,-0.411998522,-1.042907547,,202.4,0.443,0.445,0.456,121.743,23.07364902,23.55643473,26.38227375,0.482785709,2.825839024
184.5,0.452,0.451,0.446,101.422,17.57300462,17.39309113,16.51873866,-0.179913488,-0.874352469,,202.6,0.442,0.446,0.456,71.095,7.787606917,8.116908657,8.997095713,0.32930174,0.880187056
184.7,0.447,0.45,0.446,64.17,6.681344732,6.891340928,6.612666498,0.209996196,-0.278674429,,202.8,0.45,0.448,0.457,1.363,0.003109076,0.003045616,0.003340936,-6.35E-05,0.00029532
184.9,0.449,0.448,0.442,117.6,22.90751416,22.67242766,21.30789503,-0.235086498,-1.364532636,,203,0.449,0.45,0.46,1.15,0.002190579,0.002213275,0.002452501,2.27E-05,0.000239226
185.1,0.451,0.447,0.444,118.32,23.67166214,22.71517692,22.02130967,-0.956485223,-0.693867251,,203.2,0.451,0.453,0.46,1.803,0.005496723,0.005610982,0.00602844,0.000114259,0.000417457
185.4,0.45,0.446,0.451,1.511,0.003820926,0.003666414,0.00386048,-0.000154512,0.000194067,,203.4,0.454,0.454,0.454,0.951,0.001577142,0.001577142,0.001577142,0,0
185.7,0.458,0.452,0.455,1.895,0.006524448,0.006134796,0.006326844,-0.000389652,0.000192048,,203.6,0.447,0.448,0.444,1.345,0.002935245,0.002965705,0.002845584,3.05E-05,-0.000120121
186.1,0.456,0.447,0.454,2.119,0.007992564,0.007285539,0.007830179,-0.000707025,0.000544639,,203.8,0.447,0.436,0.44,5.085,0.041954806,0.037429211,0.03902037,-0.004525595,0.001591159
186.4,0.451,0.445,0.449,1.141,0.002201323,0.002069154,0.002156426,-0.000132169,8.73E-05,,204.1,0.434,0.43,0.431,117.314,19.51028022,18.71038984,18.90751521,-0.799890381,0.197125378
186.6,0.443,0.446,0.448,1.404,0.003068757,0.003165532,0.0032316,9.68E-05,6.61E-05,,204.3,0.436,0.433,0.438,117.74,20.06673972,19.44791865,20.4892121,-0.618821078,1.041293455
186.8,0.44,0.442,0.444,6.193,0.057877749,0.059091915,0.060329397,0.001214166,0.001237482,,205,0.446,0.435,0.436,139.977,31.4648673,28.06801714,28.36234383,-3.396850161,0.294326697
187,0.442,0.439,0.442,2.154,0.007148539,0.006929258,0.007148539,-0.000219281,0.000219281,,205.2,0.445,0.433,0.438,139.799,31.06201974,27.41783736,28.88586153,-3.644182378,1.468024168
187.2,0.441,0.441,0.441,120.266,22.05491463,22.05491463,22.05491463,0,0,,205.4,0.451,0.433,0.439,140.849,33.54439531,27.83124292,29.62803636,-5.713152391,1.796793439
187.5,0.443,0.445,0.447,105.017,17.16909876,17.52833953,17.8944773,0.359240773,0.366137772,,205.6,0.445,0.438,0.439,140.494,31.37163233,29.17378313,29.47887381,-2.197849201,0.305090681
187.7,0.444,0.444,0.441,114.448,20.60360605,20.60360605,19.97266708,0,-0.630938973,,205.8,0.442,0.437,0.439,137.965,29.32673775,27.84151519,28.427141,-1.485222568,0.585625817
187.9,0.446,0.443,0.447,104.95,17.68794697,17.14719825,17.87165152,-0.540748715,0.724453269,,206.2,0.456,0.442,0.446,128.475,29.38065518,25.4309836,26.50634182,-3.949671582,1.075358225
188.1,0.444,0.44,0.442,129.023,26.18551342,25.1213944,25.648394,-1.064119025,0.526999606,,206.4,0.451,0.444,0.453,140.146,33.21038002,30.89500257,33.9007153,-2.315377454,3.005712731
188.3,0.447,0.446,0.448,139.7,31.66595672,31.34045908,31.99456381,-0.325497644,0.654104726,,206.6,0.456,0.454,0.459,125.631,28.09427679,27.52348363,28.97107795,-0.57079316,1.447594321
188.5,0.443,0.449,0.452,135.687,28.66188599,30.49578387,31.4527167,1.833897887,0.95693283,,206.8,0.459,0.457,0.453,139.333,35.63518333,34.91277842,33.50853374,-0.722404914,-1.404244682
188.7,0.451,0.448,0.449,1.894,0.006065581,0.005880894,0.005941872,-0.000184687,6.10E-05,,207,0.45,0.454,0.454,1.622,0.004402926,0.004587874,0.004587874,0.000184948,0
188.9,0.447,0.449,0.45,116.839,22.15008842,22.61200031,22.84627078,0.461911889,0.234270465,,207.2,0.458,0.45,0.451,1.149,0.002398642,0.002209427,0.0022323,-0.000189215,2.29E-05
189.1,0.446,0.445,0.444,92.233,13.66108556,13.52054604,13.38133649,-0.140539519,-0.139209546,,207.4,0.456,0.449,0.449,1.198,0.002554688,0.002377261,0.002377261,-0.000177426,0
189.3,0.447,0.443,0.434,1.168,0.00221353,0.002123802,0.001933969,-8.97E-05,-0.000189833,,207.6,0.451,0.443,0.452,1.228,0.002549818,0.002347605,0.002576193,-0.000202213,0.000228588
189.5,0.449,0.44,0.436,1.756,0.005107547,0.004653273,0.004463523,-0.000454274,-0.00018975,,207.8,0.444,0.444,0.447,1.196,0.002250035,0.002250035,0.002320931,0,7.09E-05
189.7,0.444,0.438,0.43,89.552,12.61471378,11.85298608,10.90269165,-0.761727702,-0.950294434,,208,0.436,0.44,0.451,1.023,0.001514886,0.001579286,0.001769554,6.44E-05,0.000190268
189.9,0.447,0.434,0.436,74.307,8.958994241,7.827503614,7.992602425,-1.131490627,0.165098812,,208.2,0.439,0.44,0.45,26.915,1.081892478,1.093196515,1.212351141,0.011304037,0.119154626
190.6,0.445,0.442,0.447,90.965,13.15134617,12.74895396,13.42605585,-0.402392206,0.677101888,,208.4,0.436,0.437,0.45,26.155,0.990234843,1.000609138,1.144851364,0.010374296,0.144242226
191,0.446,0.436,0.439,2.2,0.007772449,0.007006064,0.007228375,-0.000766385,0.000222311,,208.6,0.436,0.435,0.451,112.868,18.44040324,18.24904025,21.54041621,-0.191362992,3.291375959
191.2,0.444,0.439,0.445,100.181,15.78692505,14.98877216,15.95116056,-0.798152887,0.9623884,,208.8,0.435,0.432,0.448,120.646,20.85087214,20.20728278,23.8621316,-0.643589363,3.65484882
191.4,0.445,0.441,0.444,96.624,14.83855416,14.23605549,14.6857742,-0.602498671,0.449718718,,209,0.434,0.431,0.441,111.641,17.66897096,17.12309272,19.00496541,-0.545878235,1.881872681
191.6,0.452,0.444,0.448,9.321,0.148424877,0.136663279,0.14243227,-0.011761598,0.005768991,,209.2,0.438,0.438,0.441,125.483,23.27271127,23.27271127,24.00984927,0,0.737138008
191.8,0.441,0.44,0.45,92.02,12.91172018,12.77832496,14.17111802,-0.133395218,1.392793067,,209.4,0.44,0.437,0.44,121.893,22.42162074,21.7326431,22.42162074,-0.688977637,0.688977637
192,0.437,0.434,0.444,1.639,0.00392928,0.003808217,0.004225564,-0.000121062,0.000417347,,209.6,0.442,0.435,0.443,123.783,23.60738665,21.94928503,23.85340002,-1.658101623,1.904114989
192.2,0.426,0.434,0.439,10.929,0.155701702,0.169326399,0.178384118,0.013624697,0.009057719,,209.8,0.444,0.441,0.441,120.82,22.9617236,22.2585726,22.2585726,-0.703151006,0
192.4,0.436,0.437,0.44,129.155,24.14633392,24.39930543,25.17282275,0.252971512,0.773517318,,210,0.447,0.45,0.441,91.642,13.62664428,14.05493284,12.80586045,0.428288552,-1.249072385
192.6,0.438,0.435,0.441,132.295,25.86807173,25.07178364,26.68741498,-0.796288087,1.615631337,,,,,,,,,,,
192.8,0.442,0.433,0.438,59.838,5.516708592,5.023185368,5.292140116,-0.493523224,0.268954747,,,,,,,,,,,
193,0.444,0.436,0.438,2.593,0.010576254,0.00973271,0.009937616,-0.000843543,0.000204906,,,,,,,,,,,
