Initial ID,Injection section,Injection depth,Injection start ,Injection end,,Data and Time,Injection rate (L/min),Injection pressure @187.8m,Injection temperature @187.8m,?P/MPa,?T/Deg. C,dT/dt,dP/dt,Volume/m3,Normalized T01,Normalized P01,Normalized Q01,,Injectivity
(2)-1,Re(1),188.6-188.8 m,2013/12/12 10:04,2013/12/12 14:05,0,10:00:15,0,1.724,16.46,0,0,0,0,0,0.95,0.3004,0,,0
,,,,,1,10:01:15,0,1.724,16.46,0,0,7.2006,-2.189,0,0.95,0.3004,0,,0
,,,,,2,10:02:15,0,1.721,16.47,0,0,7.2006,19.348,0,0.95263,0.29568,0,,0
,,,,,3,10:03:15,0,1.751,16.47,0,0,21.6018,22.314,0,0.95263,0.34205,0,,0
,,,,Start,4,10:04:15,12,1.752,16.5,0,0,72.00599,-1.554,0.006,0.96053,0.34372,0.1,,6.849315068
,,,,,5,10:05:15,12,1.748,16.57,-0.005,0.04,79.20661,-6.214,0.018,0.97895,0.3387,0.1,,6.864988558
,,,,,6,10:06:15,12,1.743,16.61,-0.012,0.05,36.00302,-8.332,0.03,0.98947,0.33034,0.1,,6.884681583
,,,,,7,10:07:15,12,1.737,16.62,-0.018,0.05,7.2006,-9.321,0.042,0.99211,0.32077,0.1,,6.908462867
,,,,,8,10:08:15,12,1.73,16.62,-0.022,0.05,0,-7.697,0.054,0.99211,0.31028,0.1,,6.936416185
,,,,,9,10:09:15,12,1.726,16.62,-0.016,0.04,-7.2006,1.483,0.066,0.99211,0.3042,0.1,,6.952491309
,,,,,10,10:10:15,12,1.732,16.61,-0.014,0.05,0,5.72,0.078,0.98947,0.31347,0.1,,6.928406467
,,,,,11,10:11:15,12,1.734,16.62,-0.02,0.05,7.2006,-3.036,0.09,0.99211,0.31651,0.1,,6.920415225
,,,,,12,10:12:15,12,1.728,16.62,0.005,0.05,0,13.699,0.102,0.99211,0.30693,0.1,,6.944444444
,,,,,13,10:13:15,12,1.753,16.62,0.001,0.07,14.4012,15.464,0.114,0.99211,0.346,0.1,,6.845407872
,,,,,14,10:14:15,12,1.749,16.64,-0.005,0.08,21.6018,-6.92,0.126,0.99737,0.34022,0.1,,6.861063465
,,,,,15,10:15:15,12,1.744,16.65,-0.014,0.08,7.2006,-10.663,0.138,1,0.3311,0.1,,6.880733945
,,,,,16,10:16:15,12,1.735,16.65,-0.019,0.08,0,-9.886,0.15,1,0.31727,0.1,,6.916426513
,,,,,17,10:17:15,12,1.73,16.65,-0.021,0.07,-7.2006,-5.084,0.162,1,0.30982,0.1,,6.936416185
,,,,,18,10:18:15,12,1.728,16.64,-0.023,0.07,-7.2006,-3.319,0.174,0.99737,0.30632,0.1,,6.944444444
,,,,,19,10:19:15,12,1.725,16.64,-0.025,0.06,-7.2006,-2.683,0.186,0.99737,0.30268,0.1,,6.956521739
,,,,,20,10:20:15,12,1.724,16.63,-0.025,0.06,-7.2006,-1.483,0.198,0.99474,0.30055,0.1,,6.960556845
,,,,,21,10:21:15,12,1.723,16.63,-0.063,0.06,0,-27.469,0.21,0.99474,0.29948,0.1,,6.964596634
,,,,,22,10:22:15,12,1.686,16.63,-0.1,0.05,-7.2006,-53.878,0.222,0.99474,0.24141,0.1,,7.117437722
,,,,,23,10:23:15,12,1.648,16.62,-0.126,0.03,-21.6018,-45.263,0.234,0.99211,0.18349,0.1,,7.281553398
,,,,,24,10:24:15,12,1.623,16.6,-0.102,-0.01,-43.20359,-1.271,0.246,0.98684,0.14396,0.1,,7.393715342
,,,,,25,10:25:15,12,1.647,16.56,-0.067,-0.05,-57.60479,42.156,0.258,0.97632,0.18075,0.1,,7.285974499
,,,,,26,10:26:15,12,1.681,16.52,-0.047,-0.09,-57.60479,39.402,0.27,0.96579,0.23472,0.1,,7.138607971
,,,,,27,10:27:15,12,1.701,16.48,-0.038,-0.11,-43.2036,21.184,0.282,0.95526,0.26558,0.1,,7.054673721
