Initial ID,Injection section,Injection depth,Injection start ,Injection end,Time-lapse,Data and Time,Injection rate,Injection pressure @205.4m,Injection temperature @205.4m,?P/Mpa,?T/?C,dT/dt,dP/dt,Volume/m3,Normalized T01,Normalized P01,Normalized Q01,,Injectivity
(4)-1,Re(2),204.4-206.4 m,2013/12/10,2013/12/10,,,,,,,,,,,,,,,
,,,13:14:00,15:36:00,0,12:59:29,0,1.891,17.75,0,0,0,0,0,1,0.678808395,0,,0
,,,,,1,13:00:29,0,1.891,17.75,0,0,0,0.070613756,0,1,0.678808395,0,,0
,,,,,2,13:01:29,0,1.891,17.75,0,0,0,0.070613756,0,1,0.678943805,0,,0
,,,,,3,13:02:29,0,1.891,17.75,0,0,0,-0.070613756,0,1,0.678943805,0,,0
,,,,,4,13:03:29,0,1.891,17.75,0,0,0,-0.211841267,0,1,0.678808395,0,,0
,,,,,5,13:04:29,0,1.891,17.75,0,0,0,-0.141227511,0,1,0.678537576,0,,0
,,,,,6,13:05:29,0,1.891,17.75,0,0,0,0,0,1,0.678537576,0,,0
,,,,,7,13:06:29,0,1.891,17.75,0,0,0,0,0,1,0.678537576,0,,0
,,,,,8,13:07:29,0,1.891,17.75,0,0,0,0,0,1,0.678537576,0,,0
,,,,,9,13:08:29,0,1.891,17.75,0,0,0,0,0,1,0.678537576,0,,0
,,,,,10,13:09:29,0,1.891,17.75,0,0,0,-0.070613756,0,1,0.678537576,0,,0
,,,,,11,13:10:29,0,1.891,17.75,0,0,0,-0.070613756,0,1,0.678402167,0,,0
,,,,,12,13:11:29,0,1.891,17.75,0,0,0,0,0,1,0.678402167,0,,0
,,,,,13,13:12:29,0,1.891,17.75,0,0,0,5.719714206,0,1,0.678402167,0,,0
,,,,,14,13:13:29,0,1.899,17.75,0,0,-122.4102676,41.0972295,0,1,0.689370345,0,,0
,,,,Start,15,13:14:29,150,1.948,17.58,0,0,-403.2336344,58.39759963,0,0.959134615,0.757210562,1,,77.00205339
,,,,,16,13:15:29,150,1.98,17.19,0.032,-0.39,-475.2395438,37.63713175,0.075,0.865384615,0.801354096,1,,75.75757576
,,,,,17,13:16:29,150,2,16.92,0.052,-0.66,-828.068902,26.19770334,0.225,0.800480769,0.829383886,1,,75
,,,,,18,13:17:29,150,2.016,16.04,0.068,-1.54,-928.8772901,9.038560721,0.375,0.588942308,0.851591063,1,,74.4047619
,,,,,19,13:18:29,150,2.013,15.63,0.065,-1.95,-388.8324168,-4.660509293,0.525,0.490384615,0.846716317,1,,74.51564829
,,,,,20,13:19:29,150,2.01,15.5,0.062,-2.08,-158.413244,-3.036392913,0.675,0.459134615,0.842654028,1,,74.62686567
,,,,,21,13:20:29,150,2.008,15.41,0.061,-2.17,-108.0089872,-2.189026425,0.825,0.4375,0.840893703,1,,74.70119522
,,,,,22,13:21:29,150,2.007,15.35,0.059,-2.23,-14.4011983,-3.107005248,0.975,0.423076923,0.83845633,1,,74.73841555
,,,,,23,13:22:29,150,2.004,15.39,0.056,-2.19,122.4101855,-4.024984071,1.125,0.432692308,0.83493568,1,,74.8502994
